block,hyp,alt1,mine1
6,-1473.313003692922,-1470.5189512089073,-1466.8386778033544
7,-1432.9585322970152,-1436.9362988754535,-1436.0244191306372
8,-1609.5884276229233,-1604.696918559634,-1614.6584838596618
9,-1385.2136513917621,-1380.9549594064856,-1380.569718177152
10,-2039.0676313020113,-2061.1919719987313,-2051.0690157688678
11,-1426.6190824675339,-1428.588820291062,-1424.1321411727267
12,-1368.622587820872,-1360.4424190470725,-1354.22277051394
13,-1367.4371002838327,-1364.6127478117382,-1363.715590090452
14,-1279.381607766489,-1277.1052672066967,-1271.3048493658252
15,-1331.3403045632217,-1326.8056253268965,-1322.613750953664
16,-1371.3415439501716,-1368.6183248328612,-1366.1961693303658
17,-1334.842940557856,-1335.4005314491073,-1329.7625566478218
18,-1372.8428276044413,-1366.0018695715828,-1361.2205289963931
19,-1376.9351605603208,-1368.5895987181984,-1363.0631330659007
20,-1752.3934773862,-1732.860415393924,-1738.3907478925435
